topic	tweet_id	tweet_url	tweet_text	class_label
THẾ GIỚI	1383	https://baotintuc.vn/the-gioi/trung-bay-ban-sao-bo-xuong-hoa-thach-cua-loai-khung-long-khong-lo-tai-london-20230330152500757.htm	Bộ xương bản sao được đưa đến Lodon bằng cách nghép thành con hoàn chỉnh rồi vận chuyển đến.	1
Du lịch	7117	https://vnexpress.net/quan-banh-cuon-trong-ngo-nho-re-nhat-ha-noi-4580711.html	Phần vỏ bánh được làm rất công phu, từ giai đoạn xay gạo đến cuốn bánh hết tổng 4 tiếng đồng hồ.	1
AN NINH TRẬT TỰ	3399	https://plo.vn/thanh-nien-tang-tru-ma-tuy-chong-cu-quyet-liet-khi-bi-cong-an-vay-bat-post725522.html	Đối tượng cố gắng bỏ chạy sau khi lực lượng công an đón dừng xe để kiểm tra.	1
Khoa học	559	https://vnexpress.net/bao-freddy-co-the-lap-ky-luc-keo-dai-nhat-trong-lich-su-4581851.html	Vì lượng mưa khổng lồ do cơn bão tạo ra đã dẫn đến nhiều vụ sạt lở và ngập lụt, miền nam Mozambique nhận lượng mưa cao hơn gấp đôi hàng năm, và dự kiến nếu bão cứ tiếp tục độ bổ thì lượng mưa tại đây sẽ cao nhất trong lịch sử từ trước đến giờ.	1
Xã hội	6895	https://baochinhphu.vn/vu-be-trai-nghi-bi-ep-hut-ma-tuy-can-xu-ly-nghiem-minh-113230327155549223.htm	Tại một địa điểm trên địa bàn huyện Củ Chi, TPHCM, Công an đã phát hiện hai nghi phạm có liên quan đến vụ việc là N. được xác định là mẹ ruột bé Th. và B. là người đàn ông xăm trổ xuất hiện trong video clip được lan truyền những ngày gần đây với nội dung bạo hành.	1
Y TẾ	2515	https://baotintuc.vn/dich-benh/ha-noi-khong-de-dich-cum-gia-cam-lay-sang-nguoi-20230315213949243.htm	Giảm nhẹ công tác tuyên truyền về phòng, chống dịch cúm gia cầm lây lan sang người để người dân hạn chế tiếp xúc với gia cầm ốm, chết và chất thải từ gia cầm bằng cách Sở Thông tin và Truyền thông phối hợp các sở, ngành, Ủy ban nhân dân các quận huyện, thị xã chỉ đạo thực hiện.	1
Chính trị	6532	https://baochinhphu.vn/nuoi-duong-dam-me-khat-vong-sang-tao-doi-moi-tao-ra-cac-thuong-hieu-ban-dia-viet-nam-mang-tam-quoc-te-102230317121741553.htm	Những yếu tố xã hội cần thiết cho sự phát triển ổn định và bền vững của mỗi quốc gia, đặc biệt là các nước Châu Á là xây dựng gia đình hạnh phúc, bảo đảm đầy đủ quyền và lợi ích chính đáng của phụ nữ, đây là những vấn đề xã hội đang được góp phần giải quyết tích cực thông qua việc phát triển kinh tế.	1
Giáo dục	988	https://vnexpress.net/bon-cach-cam-on-bang-tieng-anh-qua-le-trao-giai-oscar-4581973.html	Trong phim Everything Everywhere All at Once diễn viên Quan Kế Huy sinh năm 1890, người giành giải diễn viên nam chính xuất sắc nhất nói lời cảm ơn Viện hàn lâm vì giải thưởng vinh dự này.	1
GIÁO DỤC	1985	https://baotintuc.vn/giao-duc/gan-5000-viec-lam-tai-chuoi-su-kien-ueh-sharing-career-fair-2023-20230330175236350.htm	Chuỗi sự kiện “UEH Sharing - Career Fair” là hoạt động khởi đầu cho chương trình “Kết nối cộng đồng - Lan tỏa tri thức - Hành động bền vững” của Trường Đại học Kinh tế TP Hồ Chí Minh trong năm 2023.	1
XÃ HỘI	3240	https://tienphong.vn/cong-bo-quyet-dinh-cua-ban-thuong-vu-tinh-uy-binh-duong-ve-cong-tac-can-bo-post1520981.tpo	HĐND TP Thủ Dầu Một sẽ tổ chức phiên họp để bầu chức danh Phó Chủ tịch UBND thành phố, cuộc họp sẽ diễn ra vào 17 giờ ngày 30/3 tại Trung tâm Hội nghị tiệc Plaza.	1
